127.0.0.1 - - [01/Sep/2023:13:54:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:54:53 +0530] "GET /project_3/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:54:53 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:54:54 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 200 32034
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:55:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3840
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:55:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:55:03 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 200 1228429
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:55:47 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7242
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:55:50 +0530] "GET /project_3/img/businessman-g173508c6c_1920.jpg HTTP/1.1" 200 491693
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:16 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9960
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9960
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:34 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:56:35 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:57:34 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9969
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:57:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:57:34 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:13:57:37 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
