127.0.0.1 - - [04/Sep/2023:15:52:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:52:45 +0530] "GET /project_3/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:52:45 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:52:45 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 200 32034
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:52:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:52:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:52:49 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 200 1228429
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3844
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:15 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:16 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:44 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:44 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:54:45 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:55:54 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:55:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:55:54 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:55:54 +0530] "GET /project_3/img/custom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:56:21 +0530] "GET /project_3/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:56:21 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:56:21 +0530] "GET /project_3/img/indexImg.jpg HTTP/1.1" 200 32034
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:56:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:57:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3847
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:57:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:57:03 +0530] "GET /project_3/img/project3home.jpg HTTP/1.1" 200 1228429
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:13 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:35 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [04/Sep/2023:15:58:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:00:39 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3826
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:00:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:00:48 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7232
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:00:49 +0530] "GET /project_3/img/businessman-g173508c6c_1920.jpg HTTP/1.1" 200 491693
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:01:11 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:01:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9955
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:01:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:01:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:01:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:08 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:10 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:11 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:03:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:07:29 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9962
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:07:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:13:21 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9956
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:13:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:13:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9973
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:13:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:14:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9977
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:14:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:14:23 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9981
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:14:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:34:44 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 13390
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:35:14 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 13427
0:0:0:0:0:0:0:1 - - [04/Sep/2023:16:35:53 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7475
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:09:48 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:15:47 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:15:47 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 12513
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:15:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:15:47 +0530] "GET /project_3/img/register.jpg HTTP/1.1" 200 340508
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:15:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:17:48 +0530] "GET /project_3/ HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:17:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:17:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:17:55 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7260
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:01 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:13 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7260
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:23 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:32 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:32 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:32 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9983
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:18:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:27:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9959
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:27:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:27:28 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9983
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:27:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:27:38 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7475
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:29:01 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:29:30 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7475
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:29:49 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:29:49 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9964
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:29:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:31:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9988
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:31:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:31:16 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7480
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:31:57 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7480
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:33:07 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7480
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:33:12 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7265
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:33:22 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Sep/2023:17:33:22 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9975
